ZipCode,StateFIPS,State,CountyFIPS,County
"72479","05","AR","111","POINSETT"
"72501","05","AR","063","INDEPENDENCE"
"72501","05","AR","065","IZARD"
"72512","05","AR","049","FULTON"
"72512","05","AR","065","IZARD"
"72513","05","AR","049","FULTON"
"72513","05","AR","065","IZARD"
"72513","05","AR","135","SHARP"
"72519","05","AR","005","BAXTER"
"72519","05","AR","065","IZARD"
"72519","05","AR","137","STONE"
"72521","05","AR","063","INDEPENDENCE"
"72521","05","AR","135","SHARP"
"72523","05","AR","023","CLEBURNE"
"72523","05","AR","063","INDEPENDENCE"
"72529","05","AR","049","FULTON"
"72529","05","AR","135","SHARP"
"72530","05","AR","023","CLEBURNE"
"72530","05","AR","137","STONE"
"72531","05","AR","005","BAXTER"
"72531","05","AR","049","FULTON"
"72532","05","AR","065","IZARD"
"72532","05","AR","135","SHARP"
"72534","05","AR","023","CLEBURNE"
"72534","05","AR","063","INDEPENDENCE"
"72542","05","AR","049","FULTON"
"72542","05","AR","135","SHARP"
"72550","05","AR","023","CLEBURNE"
"72550","05","AR","063","INDEPENDENCE"
"72550","05","AR","137","STONE"
"72554","05","AR","049","FULTON"
"72554","05","AR","135","SHARP"
"72560","05","AR","065","IZARD"
"72560","05","AR","137","STONE"
"72568","05","AR","063","INDEPENDENCE"
"72568","05","AR","145","WHITE"
"72572","05","AR","063","INDEPENDENCE"
"72572","05","AR","075","LAWRENCE"
"72577","05","AR","065","IZARD"
"72577","05","AR","135","SHARP"
"72579","05","AR","063","INDEPENDENCE"
"72579","05","AR","135","SHARP"
"72601","05","AR","009","BOONE"
"72601","05","AR","089","MARION"
"72601","05","AR","101","NEWTON"
"72611","05","AR","009","BOONE"
"72611","05","AR","015","CARROLL"
"72617","05","AR","005","BAXTER"
"72617","05","AR","129","SEARCY"
"72617","05","AR","137","STONE"
"72624","05","AR","015","CARROLL"
"72624","05","AR","101","NEWTON"
"72632","05","AR","015","CARROLL"
"72632","05","AR","087","MADISON"
"72633","05","AR","009","BOONE"
"72633","05","AR","089","MARION"
"72633","05","AR","129","SEARCY"
"72639","05","AR","089","MARION"
"72639","05","AR","129","SEARCY"
"72644","05","AR","009","BOONE"
"72644","05","AR","089","MARION"
"72644","29","MO","213","TANEY"
"72645","05","AR","129","SEARCY"
"72645","05","AR","137","STONE"
"72645","05","AR","141","VAN BUREN"
"72650","05","AR","129","SEARCY"
"72650","05","AR","137","STONE"
"72653","05","AR","005","BAXTER"
"72653","05","AR","089","MARION"
"72662","05","AR","009","BOONE"
"72662","05","AR","015","CARROLL"
"72675","05","AR","089","MARION"
"72675","05","AR","129","SEARCY"
"72679","05","AR","115","POPE"
"72679","05","AR","129","SEARCY"
"72679","05","AR","141","VAN BUREN"
"72680","05","AR","129","SEARCY"
"72680","05","AR","137","STONE"
"72682","05","AR","009","BOONE"
"72682","05","AR","089","MARION"
"72685","05","AR","009","BOONE"
"72685","05","AR","101","NEWTON"
"72685","05","AR","129","SEARCY"
"72686","05","AR","115","POPE"
"72686","05","AR","129","SEARCY"
"72703","05","AR","087","MADISON"
"72703","05","AR","143","WASHINGTON"
"72704","05","AR","007","BENTON"
"72704","05","AR","143","WASHINGTON"
"72727","05","AR","087","MADISON"
"72727","05","AR","143","WASHINGTON"
"72738","05","AR","007","BENTON"
"72738","05","AR","087","MADISON"
"72738","05","AR","143","WASHINGTON"
"72740","05","AR","015","CARROLL"
"72740","05","AR","087","MADISON"
"72740","05","AR","101","NEWTON"
"72742","05","AR","087","MADISON"
"72742","05","AR","101","NEWTON"
"72752","05","AR","071","JOHNSON"
"72752","05","AR","087","MADISON"
"72756","05","AR","007","BENTON"
"72756","05","AR","087","MADISON"
"72761","05","AR","007","BENTON"
"72761","05","AR","143","WASHINGTON"
"72762","05","AR","007","BENTON"
"72762","05","AR","143","WASHINGTON"
"72764","05","AR","007","BENTON"
"72764","05","AR","143","WASHINGTON"
"72773","05","AR","087","MADISON"
"72773","05","AR","143","WASHINGTON"
"72821","05","AR","047","FRANKLIN"
"72821","05","AR","071","JOHNSON"
"72823","05","AR","029","CONWAY"
"72823","05","AR","115","POPE"
"72827","05","AR","127","SCOTT"
"72827","05","AR","149","YELL"
"72833","05","AR","127","SCOTT"
"72833","05","AR","149","YELL"
"72834","05","AR","083","LOGAN"
"72834","05","AR","149","YELL"
"72838","05","AR","127","SCOTT"
"72838","05","AR","149","YELL"
"72839","05","AR","071","JOHNSON"
"72839","05","AR","115","POPE"
"72841","05","AR","127","SCOTT"
"72841","05","AR","149","YELL"
"72842","05","AR","083","LOGAN"
"72842","05","AR","149","YELL"
"72846","05","AR","071","JOHNSON"
"72846","05","AR","115","POPE"
"72847","05","AR","071","JOHNSON"
"72847","05","AR","115","POPE"
"72852","05","AR","071","JOHNSON"
"72852","05","AR","087","MADISON"
"72852","05","AR","101","NEWTON"
"72853","05","AR","105","PERRY"
"72853","05","AR","149","YELL"
"72854","05","AR","071","JOHNSON"
"72854","05","AR","101","NEWTON"
"72855","05","AR","047","FRANKLIN"
"72855","05","AR","083","LOGAN"
"72856","05","AR","101","NEWTON"
"72856","05","AR","115","POPE"
"72857","05","AR","105","PERRY"
"72857","05","AR","149","YELL"
"72927","05","AR","083","LOGAN"
"72927","05","AR","127","SCOTT"
"72927","05","AR","131","SEBASTIAN"
"72928","05","AR","047","FRANKLIN"
"72928","05","AR","083","LOGAN"
"72930","05","AR","047","FRANKLIN"
"72930","05","AR","131","SEBASTIAN"
"72933","05","AR","047","FRANKLIN"
"72933","05","AR","083","LOGAN"
"72933","05","AR","131","SEBASTIAN"
"72943","05","AR","047","FRANKLIN"
"72943","05","AR","083","LOGAN"
"72943","05","AR","149","YELL"
"72944","05","AR","127","SCOTT"
"72944","05","AR","131","SEBASTIAN"
"72946","05","AR","033","CRAWFORD"
"72946","05","AR","047","FRANKLIN"
"72947","05","AR","033","CRAWFORD"
"72947","05","AR","047","FRANKLIN"
"72948","05","AR","033","CRAWFORD"
"72948","05","AR","143","WASHINGTON"
"72949","05","AR","047","FRANKLIN"
"72949","05","AR","071","JOHNSON"
"72949","05","AR","083","LOGAN"
"72951","05","AR","047","FRANKLIN"
"72951","05","AR","083","LOGAN"
"72959","05","AR","033","CRAWFORD"
"72959","05","AR","087","MADISON"
"72959","05","AR","143","WASHINGTON"
"73002","40","OK","051","GRADY"
"73002","40","OK","087","MCCLAIN"
"73003","40","OK","083","LOGAN"
"73003","40","OK","109","OKLAHOMA"
"73006","40","OK","015","CADDO"
"73006","40","OK","031","COMANCHE"
"73007","40","OK","083","LOGAN"
"73007","40","OK","109","OKLAHOMA"
"73010","40","OK","051","GRADY"
"73010","40","OK","087","MCCLAIN"
"73012","40","OK","083","LOGAN"
"73012","40","OK","109","OKLAHOMA"
"73015","40","OK","015","CADDO"
"73015","40","OK","075","KIOWA"
"73015","40","OK","149","WASHITA"
"73016","40","OK","073","KINGFISHER"
"73016","40","OK","083","LOGAN"
"73017","40","OK","015","CADDO"
"73017","40","OK","031","COMANCHE"
"73017","40","OK","051","GRADY"
"73020","40","OK","027","CLEVELAND"
"73020","40","OK","109","OKLAHOMA"
"73021","40","OK","015","CADDO"
"73021","40","OK","149","WASHITA"
"73025","40","OK","083","LOGAN"
"73025","40","OK","109","OKLAHOMA"
"73026","40","OK","027","CLEVELAND"
"73026","40","OK","109","OKLAHOMA"
"73027","40","OK","083","LOGAN"
"73027","40","OK","119","PAYNE"
"73028","40","OK","073","KINGFISHER"
"73028","40","OK","083","LOGAN"
"73030","40","OK","049","GARVIN"
"73030","40","OK","099","MURRAY"
"73034","40","OK","083","LOGAN"
"73034","40","OK","109","OKLAHOMA"
"73040","40","OK","001","ADAIR"
"73040","40","OK","011","BLAINE"
"73040","40","OK","017","CANADIAN"
"73041","40","OK","075","KIOWA"
"73041","40","OK","149","WASHITA"
"73045","40","OK","081","LINCOLN"
"73045","40","OK","109","OKLAHOMA"
"73045","40","OK","125","POTTAWATOMIE"
"73047","40","OK","015","CADDO"
"73047","40","OK","017","CANADIAN"
"73048","40","OK","011","BLAINE"
"73048","40","OK","015","CADDO"
"73048","40","OK","039","CUSTER"
"73052","40","OK","049","GARVIN"
"73052","40","OK","051","GRADY"
"73052","40","OK","087","MCCLAIN"
"73054","40","OK","081","LINCOLN"
"73054","40","OK","083","LOGAN"
"73054","40","OK","109","OKLAHOMA"
"73055","40","OK","031","COMANCHE"
"73055","40","OK","051","GRADY"
"73055","40","OK","137","STEPHENS"
"73056","40","OK","047","GARFIELD"
"73056","40","OK","073","KINGFISHER"
"73056","40","OK","083","LOGAN"
"73059","40","OK","015","CADDO"
"73059","40","OK","017","CANADIAN"
"73059","40","OK","051","GRADY"
"73062","40","OK","075","KIOWA"
"73062","40","OK","149","WASHITA"
"73063","40","OK","083","LOGAN"
"73063","40","OK","119","PAYNE"
"73072","40","OK","027","CLEVELAND"
"73072","40","OK","087","MCCLAIN"
"73073","40","OK","047","GARFIELD"
"73073","40","OK","083","LOGAN"
"73074","40","OK","049","GARVIN"
"73074","40","OK","087","MCCLAIN"
"73078","40","OK","017","CANADIAN"
"73078","40","OK","109","OKLAHOMA"
"73079","40","OK","015","CADDO"
"73079","40","OK","051","GRADY"
"73082","40","OK","031","COMANCHE"
"73082","40","OK","051","GRADY"
"73092","40","OK","015","CADDO"
"73092","40","OK","051","GRADY"
"73096","40","OK","039","CUSTER"
"73096","40","OK","149","WASHITA"
"73098","40","OK","049","GARVIN"
